0.00000    0.37500    0.37500 
0.00000    0.62500    0.62500 
0.00000    0.87500    0.87500 
0.00000    0.12500    0.12500 
0.00458    0.38875    0.61125 
0.00458    0.61125    0.38875 
0.00458    0.88875    0.11125 
0.00458    0.11125    0.88875 
0.04167    0.00000    0.50000 
0.04167    0.50000    0.00000 
0.07875    0.61125    0.61125 
0.07875    0.38875    0.38875 
0.07875    0.11125    0.11125 
0.07875    0.88875    0.88875 
0.08333    0.62500    0.37500 
0.08333    0.37500    0.62500 
0.08333    0.12500    0.87500 
0.08333    0.87500    0.12500 
0.08792    0.63875    0.13875 
0.08792    0.36125    0.86125 
0.08792    0.13875    0.63875 
0.08792    0.86125    0.36125 
0.12500    0.75000    0.75000 
0.12500    0.25000    0.25000 
0.87500    0.00000    0.00000 
0.87500    0.50000    0.50000 
0.91208    0.61125    0.11125 
0.91208    0.38875    0.88875 
0.91208    0.11125    0.61125 
0.91208    0.88875    0.38875 
0.91667    0.37500    0.12500 
0.91667    0.12500    0.37500 
0.91667    0.62500    0.87500 
0.91667    0.87500    0.62500 
0.92125    0.36125    0.36125 
0.92125    0.63875    0.63875 
0.92125    0.86125    0.86125 
0.92125    0.13875    0.13875 
0.95833    0.75000    0.25000 
0.95833    0.25000    0.75000 
0.99541    0.63875    0.86125 
0.99541    0.13875    0.36125 
0.99541    0.86125    0.63875 
0.99541    0.36125    0.13875 
